node,handle,topic_type,topics,post_count,engagement,in_degree,out_degree,weighted_in_degree,weighted_out_degree
did:plc:ln6enfuch25pt3kioohk2g6e,boyo94.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:smdkfx7db3pbvkdfwidns4rv,discover.sinkan.net,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:ngk24dzwjs47bnjvdze3cgvu,mm-rivista11-bot.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:rdc2l3ztlg6bkrc2vyeunson,reeseteacher.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:7plyi734ngdi7afjfljghltu,pushwall.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:kmz2drpglruwrvrtitthyw43,wildernessvagabonds.com,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:fjvnvhxq7totago4dpuwn43b,juanmonteverde0.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:2enrcnx7lnx2hrlvg7ikygt2,alilthisandthat.bsky.social,tennis_only,['tennis'],1,3,0,0,0,0
did:plc:wxb75btyyudm7ae4xfexgrmr,majesticimpact.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:kihy7dmsgcgkmzxr2bcgr3ec,cloudwall53.bsky.social,tennis_only,['tennis'],1,3,0,0,0,0
did:plc:ahaw772me6fwwlia6j3yaka5,thefamican.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:jto4obcodacyjy2qmrxagyag,ctvnewsvancouver.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:2tt3qu7kbqi73ol3i2b2ed5m,oidvoid.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:d4of55mhkzue3r36cuapqoft,logophobe.bsky.social,tennis_only,['tennis'],2,15,0,0,0,0
did:plc:7gutpnct4tfbjkccv3mjoirm,mudron.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:bzwlxyzyksuuc6uarw5vllez,nanoscopes.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:igpjq77tv5m357het5mjzguf,playitkul.bsky.social,tennis_only,['tennis'],1,3,0,0,0,0
did:plc:uyzpyopnkvyaytc4vcnhki4w,abestit.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:kupovap65ymcukivryof2ais,kindracotton.com,tennis_only,['tennis'],1,5,0,0,0,0
did:plc:swv7e6g32xzgif5rctjq6hqi,joeytehwriter.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:v2ngarazwfojwxhky3enb6ix,dildo-baggins.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:xkvf52ac5yawh4e5wrnnrygz,seilconnected.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:2fiikorjntlayev4bxaapgol,tennisbubu.bsky.social,tennis_only,['tennis'],4,5,0,0,0,0
did:plc:ej24slly4aln2yaigg4pm4xm,kyh9.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:r7eiytpwqhf42uyutifqvtcc,sillysoaperboy.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:e3vzrnxvu5pduuq5de4d2hs4,dring-batman.bsky.social,tennis_only,['tennis'],1,7,0,0,0,0
did:plc:qlsttpeemclkl5u3wl7ibcn2,spursyflo.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:asgnepdxq5bodl6pg3pdwz55,edwinjdavies.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:rbyc57pzs4rtqumqrupqx35w,igotarock2.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:skraz6fdfcu3puh2r3qarho7,lgbettea.bsky.social,tennis_only,['tennis'],1,4,0,0,0,0
did:plc:zkg2dafla5bza5dhlrwbqdlf,junkywithamonke.bsky.social,tennis_only,['tennis'],1,5,0,0,0,0
did:plc:wr6xczc352potpaqkqqrj4ys,geestack.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:xvo7gsaojuuuxc6rlw374pls,judgement-bot.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:tnt5vtar542vlzuwsbljden3,keithstein65.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:x6d322n3geelh5ifbvoj53su,mark1t.bsky.social,tennis_only,['tennis'],3,15,0,0,0,0
did:plc:fafoyafpfx2ize33fk7qe65s,2rzikkbou3ntafnir2qmmse0gwz.activitypub.awakari.com.ap.brid.gy,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:nf6iyu7mxro74uqq3cfl2lk7,nextrally.app,tennis_only,['tennis'],1,0,0,0,0,0
